"place_name","state_ut","district","city_or_town","nearest_major_city","category","visibility","tourism_type","tourism_potential","circuit","description","experience_tags","source"
"Katulkasa Waterfall","Chhattisgarh","Kondagaon","Keshkal","Jagdalpur","Waterfall","Hidden","Nature","High","Keshkal-Kondagaon Circuit","Katulkasa Waterfall is a waterfall destination in Kondagaon, Chhattisgarh.","nature, waterfalls",""
"Bijkudum Waterfall","Chhattisgarh","Kondagaon","Keshkal","Jagdalpur","Waterfall","Hidden","Nature","High","Keshkal-Kondagaon Circuit","Bijkudum Waterfall is a waterfall destination in Kondagaon, Chhattisgarh.","nature, waterfalls",""
"Umradah Waterfall","Chhattisgarh","Kondagaon","Keshkal","Jagdalpur","Waterfall","Hidden","Nature","High","Keshkal-Kondagaon Circuit","Umradah Waterfall is a waterfall destination in Kondagaon, Chhattisgarh.","nature, waterfalls",""
"Amadarha Waterfall","Chhattisgarh","Kondagaon","Keshkal","Jagdalpur","Waterfall","Hidden","Nature","High","Keshkal-Kondagaon Circuit","Amadarha Waterfall is a waterfall destination in Kondagaon, Chhattisgarh.","nature, waterfalls",""
"Hankhi Kudum Waterfall","Chhattisgarh","Kondagaon","Keshkal","Jagdalpur","Waterfall","Hidden","Nature","High","Keshkal-Kondagaon Circuit","Hankhi Kudum Waterfall is a waterfall destination in Kondagaon, Chhattisgarh.","nature, waterfalls",""
"Ghumur Waterfall","Chhattisgarh","Kondagaon","Keshkal","Jagdalpur","Waterfall","Hidden","Nature","High","Keshkal-Kondagaon Circuit","Ghumur Waterfall is a waterfall destination in Kondagaon, Chhattisgarh.","nature, waterfalls",""
"Kudarwahi Waterfall","Chhattisgarh","Kondagaon","Keshkal","Jagdalpur","Waterfall","Hidden","Nature","High","Keshkal-Kondagaon Circuit","Kudarwahi Waterfall is a waterfall destination in Kondagaon, Chhattisgarh.","nature, waterfalls",""
"Uperbedi Waterfall","Chhattisgarh","Kondagaon","Keshkal","Jagdalpur","Waterfall","Hidden","Nature","High","Keshkal-Kondagaon Circuit","Uperbedi Waterfall is a waterfall destination in Kondagaon, Chhattisgarh.","nature, waterfalls",""
"Mirde Waterfall","Chhattisgarh","Kondagaon","Keshkal","Jagdalpur","Waterfall","Hidden","Nature","High","Keshkal-Kondagaon Circuit","Mirde Waterfall is a waterfall destination in Kondagaon, Chhattisgarh.","nature, waterfalls",""
"Mutte Khadka Waterfall","Chhattisgarh","Kondagaon","Keshkal","Jagdalpur","Waterfall","Hidden","Nature","High","Keshkal-Kondagaon Circuit","Mutte Khadka Waterfall is a waterfall destination in Kondagaon, Chhattisgarh.","nature, waterfalls",""
"Cherbeda Waterfall","Chhattisgarh","Kondagaon","Keshkal","Jagdalpur","Waterfall","Hidden","Nature","High","Keshkal-Kondagaon Circuit","Cherbeda Waterfall is a waterfall destination in Kondagaon, Chhattisgarh.","nature, waterfalls",""
"Alor Cave","Chhattisgarh","Kondagaon","Keshkal","Jagdalpur","Cave","Hidden","Nature & Geology","High","Keshkal-Kondagaon Circuit","Alor Cave is a cave destination in Kondagaon, Chhattisgarh.","nature, caves",""
"Bijkudum Cave","Chhattisgarh","Kondagaon","Keshkal","Jagdalpur","Cave","Hidden","Nature & Geology","High","Keshkal-Kondagaon Circuit","Bijkudum Cave is a cave destination in Kondagaon, Chhattisgarh.","nature, caves",""
"Katthan Gundi Cave","Chhattisgarh","Kondagaon","Keshkal","Jagdalpur","Cave","Hidden","Nature & Geology","High","Keshkal-Kondagaon Circuit","Katthan Gundi Cave is a cave destination in Kondagaon, Chhattisgarh.","nature, caves",""
"Satnam Dham Hathi Pahad","Chhattisgarh","Kondagaon","Keshkal","Jagdalpur","Heritage","Hidden","Heritage & Religion","High","Keshkal-Kondagaon Circuit","Satnam Dham Hathi Pahad is a heritage destination in Kondagaon, Chhattisgarh.","heritage, culture",""
"Gobrahin Archaeological Site","Chhattisgarh","Kondagaon","Kondagaon","Jagdalpur","Archaeological","Hidden","Heritage & Religion","High","Keshkal-Kondagaon Circuit","Gobrahin Archaeological Site is a archaeological destination in Kondagaon, Chhattisgarh.","archaeology, history, heritage, culture",""
"Garh Dhanora","Chhattisgarh","Kondagaon","Kondagaon","Jagdalpur","Archaeological","Hidden","Heritage & Religion","High","Keshkal-Kondagaon Circuit","Garh Dhanora is a archaeological destination in Kondagaon, Chhattisgarh.","archaeology, history, heritage, culture",""
"Amrawati Archaeological Site","Chhattisgarh","Kondagaon","Kondagaon","Jagdalpur","Archaeological","Hidden","Heritage & Religion","High","Keshkal-Kondagaon Circuit","Amrawati Archaeological Site is a archaeological destination in Kondagaon, Chhattisgarh.","archaeology, history, heritage, culture",""
"Umradah Rock Paintings","Chhattisgarh","Kondagaon","Keshkal","Jagdalpur","Archaeological","Hidden","Heritage & Religion","High","Keshkal-Kondagaon Circuit","Umradah Rock Paintings is a archaeological destination in Kondagaon, Chhattisgarh.","archaeology, history, heritage, culture",""
"Hata Pathra Rock Paintings","Chhattisgarh","Kondagaon","Keshkal","Jagdalpur","Archaeological","Hidden","Heritage & Religion","High","Keshkal-Kondagaon Circuit","Hata Pathra Rock Paintings is a archaeological destination in Kondagaon, Chhattisgarh.","archaeology, history, heritage, culture",""
"Ling Darha Waterfall","Chhattisgarh","Kondagaon","Keshkal","Jagdalpur","Waterfall","Hidden","Nature","High","Keshkal-Kondagaon Circuit","Ling Darha Waterfall is a waterfall destination in Kondagaon, Chhattisgarh.","nature, waterfalls",""
"Nambi Waterfall","Chhattisgarh","Bijapur","Usur","Bijapur","Waterfall","Hidden","Nature","High","South Bastar Circuit","Nambi Waterfall is a waterfall destination in Bijapur, Chhattisgarh.","nature, waterfalls",""
"Nambi Jaldhara","Chhattisgarh","Bijapur","Usur","Bijapur","Waterfall","Hidden","Nature","High","South Bastar Circuit","Nambi Jaldhara is a waterfall destination in Bijapur, Chhattisgarh.","nature, waterfalls",""
"Indravati National Park","Chhattisgarh","Bijapur","Bhopalpattanam","Bijapur","Wildlife","Famous","Wildlife","High","South Bastar Circuit","Indravati National Park is a wildlife destination in Bijapur, Chhattisgarh.","wildlife",""
"Bhairamgarh Wildlife Sanctuary","Chhattisgarh","Bijapur","Bhairamgarh","Bijapur","Wildlife","Famous","Wildlife","High","South Bastar Circuit","Bhairamgarh Wildlife Sanctuary is a wildlife destination in Bijapur, Chhattisgarh.","wildlife",""
"Bhadrakali Temple","Chhattisgarh","Bijapur","Bhadrakali","Bijapur","Temple","Offbeat","Heritage & Religion","High","South Bastar Circuit","Bhadrakali Temple is a temple destination in Bijapur, Chhattisgarh.","heritage, culture",""
"Akkum's Talab Park","Chhattisgarh","Durg","Bhilai","Raipur","Recreation","Hidden","Recreation","High","Chhattisgarh Offbeat Circuit","Akkum's Talab Park is a recreation destination in Durg, Chhattisgarh.","recreation",""
"Arjun Rath Park","Chhattisgarh","Durg","Bhilai","Raipur","Recreation","Hidden","Recreation","High","Chhattisgarh Offbeat Circuit","Arjun Rath Park is a recreation destination in Durg, Chhattisgarh.","recreation",""
"Chandi Mandir Bhilai","Chhattisgarh","Durg","Bhilai","Raipur","Religious","Lesser-known","Heritage & Religion","High","Chhattisgarh Offbeat Circuit","Chandi Mandir Bhilai is a religious destination in Durg, Chhattisgarh.","heritage, culture",""
"Jagannath Temple Bhilai","Chhattisgarh","Durg","Bhilai","Raipur","Religious","Offbeat","Heritage & Religion","High","Chhattisgarh Offbeat Circuit","Jagannath Temple Bhilai is a religious destination in Durg, Chhattisgarh.","heritage, culture",""
"Jama Masjid Bhilai","Chhattisgarh","Durg","Bhilai","Raipur","Religious","Lesser-known","Heritage & Religion","High","Chhattisgarh Offbeat Circuit","Jama Masjid Bhilai is a religious destination in Durg, Chhattisgarh.","heritage, culture",""
"Nehru Nagar Park Bhelwa Talab","Chhattisgarh","Durg","Bhilai","Raipur","Recreation","Hidden","Recreation","High","Chhattisgarh Offbeat Circuit","Nehru Nagar Park Bhelwa Talab is a recreation destination in Durg, Chhattisgarh.","recreation",""
"Panchratan Vatika","Chhattisgarh","Durg","Bhilai","Raipur","Recreation","Hidden","Recreation","High","Chhattisgarh Offbeat Circuit","Panchratan Vatika is a recreation destination in Durg, Chhattisgarh.","recreation",""
"Shaheed Udyan Bhilai","Chhattisgarh","Durg","Bhilai","Raipur","Recreation","Lesser-known","Recreation","Medium","Chhattisgarh Offbeat Circuit","Shaheed Udyan Bhilai is a recreation destination in Durg, Chhattisgarh.","recreation",""
"Shirdi Sai Baba Mandir Bhilai","Chhattisgarh","Durg","Bhilai","Raipur","Religious","Lesser-known","Heritage & Religion","High","Chhattisgarh Offbeat Circuit","Shirdi Sai Baba Mandir Bhilai is a religious destination in Durg, Chhattisgarh.","heritage, culture",""
"Kohadiya Garden","Chhattisgarh","Korba","Korba","Raipur","Recreation","Hidden","Recreation","High","Korba-Chaiturgarh Circuit","Kohadiya Garden is a recreation destination in Korba, Chhattisgarh.","recreation",""
"Mata Sarwamangla Temple","Chhattisgarh","Korba","Korba","Raipur","Religious","Offbeat","Heritage & Religion","High","Korba-Chaiturgarh Circuit","Mata Sarwamangla Temple is a religious destination in Korba, Chhattisgarh.","heritage, culture",""
"Silver Jubilee Park NTPC Jamnipali","Chhattisgarh","Korba","Jamnipali","Raipur","Recreation","Hidden","Recreation","High","Korba-Chaiturgarh Circuit","Silver Jubilee Park NTPC Jamnipali is a recreation destination in Korba, Chhattisgarh.","recreation",""
"Devpahari Waterfall","Chhattisgarh","Korba","Devpahari","Korba","Waterfall","Hidden","Nature","High","Korba-Chaiturgarh Circuit","Devpahari Waterfall is a waterfall destination in Korba, Chhattisgarh.","nature, waterfalls",""
"Kendai Waterfall","Chhattisgarh","Korba","Kendai","Korba","Waterfall","Hidden","Nature","High","Korba-Chaiturgarh Circuit","Kendai Waterfall is a waterfall destination in Korba, Chhattisgarh.","nature, waterfalls",""
"Kudurmal Temple","Chhattisgarh","Korba","Kudurmal","Korba","Temple","Hidden","Heritage & Religion","High","Korba-Chaiturgarh Circuit","Kudurmal Temple is a temple destination in Korba, Chhattisgarh.","heritage, culture",""
"Kanki Temple","Chhattisgarh","Korba","Kanki","Korba","Temple","Hidden","Heritage & Religion","High","Korba-Chaiturgarh Circuit","Kanki Temple is a temple destination in Korba, Chhattisgarh.","heritage, culture",""
"Kosagaigarh","Chhattisgarh","Korba","Kosagaigarh","Korba","Fort","Hidden","Heritage & Religion","High","Korba-Chaiturgarh Circuit","Kosagaigarh is a fort destination in Korba, Chhattisgarh.","heritage, culture",""
"Chaiturgarh","Chhattisgarh","Korba","Chaiturgarh","Korba","Fort","Famous","Heritage & Religion","High","Korba-Chaiturgarh Circuit","Hilltop fort and forest destination in the Korba region.","heritage, culture",""
"Satrenga","Chhattisgarh","Korba","Satrenga","Korba","Lake","Hidden","Nature","High","Korba-Chaiturgarh Circuit","Satrenga is a lake destination in Korba, Chhattisgarh.","nature",""
"Tihariya Waterfall","Chhattisgarh","Korba","Korba","Korba","Waterfall","Hidden","Nature","High","Korba-Chaiturgarh Circuit","Tihariya Waterfall is a waterfall destination in Korba, Chhattisgarh.","nature, waterfalls",""
"Achanakmar Wildlife Sanctuary","Chhattisgarh","Mungeli","Lormi","Bilaspur","Wildlife","Offbeat","Wildlife","High","Bilaspur Heritage Circuit","Achanakmar Wildlife Sanctuary is a wildlife destination in Mungeli, Chhattisgarh.","wildlife",""
"Madku Dweep","Chhattisgarh","Mungeli","Madku Dweep","Bilaspur","Island","Hidden","Island","High","Bilaspur Heritage Circuit","Madku Dweep is a island destination in Mungeli, Chhattisgarh.","nature",""
"Tala Archaeological Site","Chhattisgarh","Bilaspur","Tala","Bilaspur","Archaeological","Hidden","Heritage & Religion","High","Bilaspur Heritage Circuit","Tala Archaeological Site is a archaeological destination in Bilaspur, Chhattisgarh.","archaeology, history, heritage, culture",""
"Malhar Archaeological Site","Chhattisgarh","Bilaspur","Malhar","Bilaspur","Heritage","Hidden","Heritage & Religion","High","Bilaspur Heritage Circuit","Malhar Archaeological Site is a heritage destination in Bilaspur, Chhattisgarh.","heritage, culture",""
"Ratanpur","Chhattisgarh","Bilaspur","Ratanpur","Bilaspur","Heritage","Famous","Heritage & Religion","High","Bilaspur Heritage Circuit","Ratanpur is a heritage destination in Bilaspur, Chhattisgarh.","heritage, culture",""
"Mahamaya Temple Ratanpur","Chhattisgarh","Bilaspur","Ratanpur","Bilaspur","Temple","Famous","Heritage & Religion","High","Bilaspur Heritage Circuit","Mahamaya Temple Ratanpur is a temple destination in Bilaspur, Chhattisgarh.","heritage, culture",""
"Khutaghat Dam","Chhattisgarh","Bilaspur","Ratanpur","Bilaspur","Lake","Famous","Nature","High","Bilaspur Heritage Circuit","Khutaghat Dam is a lake destination in Bilaspur, Chhattisgarh.","nature",""
"Kota","Chhattisgarh","Bilaspur","Kota","Bilaspur","Nature","Lesser-known","Nature","High","Bilaspur Heritage Circuit","Kota is a nature destination in Bilaspur, Chhattisgarh.","nature",""
"Barnawapara Wildlife Sanctuary","Chhattisgarh","Baloda Bazar","Barnawapara","Raipur","Wildlife","Famous","Wildlife","High","Bhoramdeo-Central Highlands Circuit","Barnawapara Wildlife Sanctuary is a wildlife destination in Baloda Bazar, Chhattisgarh.","wildlife",""
"Chingra Pagaar Waterfall","Chhattisgarh","Gariaband","Mainpur","Raipur","Waterfall","Hidden","Nature","High","Central Chhattisgarh Nature Circuit","Chingra Pagaar Waterfall is a waterfall destination in Gariaband, Chhattisgarh.","nature, waterfalls",""
"Ghatarani Waterfall","Chhattisgarh","Gariaband","Ghatarani","Raipur","Waterfall","Offbeat","Nature","High","Central Chhattisgarh Nature Circuit","Ghatarani Waterfall is a waterfall destination in Gariaband, Chhattisgarh.","nature, waterfalls",""
"Rajim","Chhattisgarh","Gariaband","Rajim","Raipur","Heritage","Famous","Heritage & Religion","High","Central Chhattisgarh Nature Circuit","Rajim is a heritage destination in Gariaband, Chhattisgarh.","heritage, culture",""
"Rajiv Lochan Temple","Chhattisgarh","Gariaband","Rajim","Raipur","Temple","Famous","Heritage & Religion","High","Central Chhattisgarh Nature Circuit","Rajiv Lochan Temple is a temple destination in Gariaband, Chhattisgarh.","heritage, culture",""
"Jatmai Temple","Chhattisgarh","Gariaband","Jatmai","Raipur","Temple","Hidden","Heritage & Religion","High","Central Chhattisgarh Nature Circuit","Jatmai Temple is a temple destination in Gariaband, Chhattisgarh.","heritage, culture",""
"Sikasar Dam","Chhattisgarh","Gariaband","Mainpur","Raipur","Lake","Hidden","Nature","High","Central Chhattisgarh Nature Circuit","Sikasar Dam is a lake destination in Gariaband, Chhattisgarh.","nature",""
"Gangrel Dam","Chhattisgarh","Dhamtari","Dhamtari","Raipur","Lake","Famous","Nature","High","Central Chhattisgarh Nature Circuit","Gangrel Dam is a lake destination in Dhamtari, Chhattisgarh.","nature",""
"Charre Marre Waterfall","Chhattisgarh","Dhamtari","Antagarh","Raipur","Waterfall","Hidden","Nature","High","Central Chhattisgarh Nature Circuit","Charre Marre Waterfall is a waterfall destination in Dhamtari, Chhattisgarh.","nature, waterfalls",""
"Sitanadi Wildlife Sanctuary","Chhattisgarh","Dhamtari","Udanti","Raipur","Wildlife","Offbeat","Wildlife","High","Central Chhattisgarh Nature Circuit","Sitanadi Wildlife Sanctuary is a wildlife destination in Dhamtari, Chhattisgarh.","wildlife",""
"Udanti Wildlife Sanctuary","Chhattisgarh","Gariaband","Mainpur","Raipur","Wildlife","Offbeat","Wildlife","High","Central Chhattisgarh Nature Circuit","Udanti Wildlife Sanctuary is a wildlife destination in Gariaband, Chhattisgarh.","wildlife",""
"Bhoramdeo Temple","Chhattisgarh","Kabirdham","Kawardha","Raipur","Temple","Famous","Heritage & Religion","High","Bhoramdeo-Central Highlands Circuit","Historic temple complex noted for its architecture and cultural heritage.","heritage, culture",""
"Bhoramdeo Wildlife Sanctuary","Chhattisgarh","Kabirdham","Kawardha","Raipur","Wildlife","Famous","Wildlife","High","Bhoramdeo-Central Highlands Circuit","Bhoramdeo Wildlife Sanctuary is a wildlife destination in Kabirdham, Chhattisgarh.","wildlife",""
"Daldali Mines Viewpoint","Chhattisgarh","Kabirdham","Bodla","Raipur","Viewpoint","Hidden","Nature","High","Bhoramdeo-Central Highlands Circuit","Daldali Mines Viewpoint is a viewpoint destination in Kabirdham, Chhattisgarh.","nature",""
"Kawardha Palace","Chhattisgarh","Kabirdham","Kawardha","Raipur","Heritage","Famous","Heritage & Religion","High","Bhoramdeo-Central Highlands Circuit","Kawardha Palace is a heritage destination in Kabirdham, Chhattisgarh.","heritage, culture",""
"Saroda Reservoir","Chhattisgarh","Kabirdham","Kawardha","Raipur","Lake","Hidden","Nature","High","Bhoramdeo-Central Highlands Circuit","Saroda Reservoir is a lake destination in Kabirdham, Chhattisgarh.","nature",""
"Sirpur Group of Monuments","Chhattisgarh","Mahasamund","Sirpur","Raipur","Heritage","Famous","Heritage & Religion","High","Sirpur Heritage Circuit","Important archaeological and heritage complex with Hindu and Buddhist monuments.","heritage, culture",""
"Laxman Temple Sirpur","Chhattisgarh","Mahasamund","Sirpur","Raipur","Temple","Famous","Heritage & Religion","High","Sirpur Heritage Circuit","Laxman Temple Sirpur is a temple destination in Mahasamund, Chhattisgarh.","heritage, culture",""
"Buddhist Monuments Sirpur","Chhattisgarh","Mahasamund","Sirpur","Raipur","Buddhist Heritage","Hidden","Heritage & Religion","High","Sirpur Heritage Circuit","Buddhist Monuments Sirpur is a buddhist heritage destination in Mahasamund, Chhattisgarh.","heritage, culture",""
"Gandheshwar Temple Sirpur","Chhattisgarh","Mahasamund","Sirpur","Raipur","Temple","Offbeat","Heritage & Religion","High","Sirpur Heritage Circuit","Gandheshwar Temple Sirpur is a temple destination in Mahasamund, Chhattisgarh.","heritage, culture",""
"Surang Tila","Chhattisgarh","Mahasamund","Sirpur","Raipur","Heritage","Hidden","Heritage & Religion","High","Sirpur Heritage Circuit","Surang Tila is a heritage destination in Mahasamund, Chhattisgarh.","heritage, culture",""
"Champaran","Chhattisgarh","Raipur","Champaran","Raipur","Religious","Lesser-known","Heritage & Religion","High","Raipur Cultural Circuit","Champaran is a religious destination in Raipur, Chhattisgarh.","heritage, culture",""
"Purkhouti Muktangan","Chhattisgarh","Raipur","Naya Raipur","Raipur","Culture","Hidden","Culture & Rural Tourism","High","Raipur Cultural Circuit","Purkhouti Muktangan is a culture destination in Raipur, Chhattisgarh.","culture, local traditions",""
"Mahant Ghasidas Memorial Museum","Chhattisgarh","Raipur","Raipur","Raipur","Museum","Offbeat","Culture & Museum","Medium","Raipur Cultural Circuit","Mahant Ghasidas Memorial Museum is a museum destination in Raipur, Chhattisgarh.","culture, local traditions",""
"Telibandha Lake","Chhattisgarh","Raipur","Raipur","Raipur","Lake","Offbeat","Nature","High","Raipur Cultural Circuit","Telibandha Lake is a lake destination in Raipur, Chhattisgarh.","nature",""
"Swami Vivekananda Sarovar","Chhattisgarh","Raipur","Raipur","Raipur","Lake","Lesser-known","Nature","High","Raipur Cultural Circuit","Swami Vivekananda Sarovar is a lake destination in Raipur, Chhattisgarh.","nature",""
"Energy Park Urja Park","Chhattisgarh","Raipur","Raipur","Raipur","Park","Offbeat","Recreation","Medium","Raipur Cultural Circuit","Energy Park Urja Park is a park destination in Raipur, Chhattisgarh.","park",""
"Maa Banjari Temple","Chhattisgarh","Raipur","Raipur","Raipur","Temple","Offbeat","Heritage & Religion","High","Raipur Cultural Circuit","Maa Banjari Temple is a temple destination in Raipur, Chhattisgarh.","heritage, culture",""
"Hatkeshwar Mahadev Temple","Chhattisgarh","Raipur","Raipur","Raipur","Temple","Offbeat","Heritage & Religion","High","Raipur Cultural Circuit","Hatkeshwar Mahadev Temple is a temple destination in Raipur, Chhattisgarh.","heritage, culture",""
"Atal Park","Chhattisgarh","Raipur","Raipur","Raipur","Park","Offbeat","Recreation","Medium","Raipur Cultural Circuit","Atal Park is a park destination in Raipur, Chhattisgarh.","park",""
"MM Fun City","Chhattisgarh","Raipur","Raipur","Raipur","Water Park","Lesser-known","Recreation","Medium","Raipur Cultural Circuit","MM Fun City is a water park destination in Raipur, Chhattisgarh.","water park",""
"Mainpat","Chhattisgarh","Surguja","Mainpat","Ambikapur","Hill Station","Famous","Hill Station","High","Mainpat-Surguja Circuit","Highland destination known for forests, waterfalls, Tibetan settlement and scenic landscapes.","hill station",""
"Tiger Point Mainpat","Chhattisgarh","Surguja","Mainpat","Ambikapur","Waterfall","Famous","Nature","High","Mainpat-Surguja Circuit","Tiger Point Mainpat is a waterfall destination in Surguja, Chhattisgarh.","nature, waterfalls",""
"Fish Point Mainpat","Chhattisgarh","Surguja","Mainpat","Ambikapur","Waterfall","Lesser-known","Nature","High","Mainpat-Surguja Circuit","Fish Point Mainpat is a waterfall destination in Surguja, Chhattisgarh.","nature, waterfalls",""
"Ghaghra Waterfall Mainpat","Chhattisgarh","Surguja","Mainpat","Ambikapur","Waterfall","Offbeat","Nature","High","Mainpat-Surguja Circuit","Ghaghra Waterfall Mainpat is a waterfall destination in Surguja, Chhattisgarh.","nature, waterfalls",""
"Zalzali Mainpat","Chhattisgarh","Surguja","Mainpat","Ambikapur","Nature","Hidden","Nature","High","Mainpat-Surguja Circuit","Zalzali Mainpat is a nature destination in Surguja, Chhattisgarh.","nature",""
"Parpatiya Viewpoint","Chhattisgarh","Surguja","Mainpat","Ambikapur","Viewpoint","Hidden","Nature","High","Mainpat-Surguja Circuit","Parpatiya Viewpoint is a viewpoint destination in Surguja, Chhattisgarh.","nature",""
"Bisar Pani","Chhattisgarh","Surguja","Mainpat","Ambikapur","Natural Phenomenon","Hidden","Natural Phenomenon","High","Mainpat-Surguja Circuit","Bisar Pani is a natural phenomenon destination in Surguja, Chhattisgarh.","natural phenomenon",""
"Tibetan Settlement Mainpat","Chhattisgarh","Surguja","Mainpat","Ambikapur","Culture","Hidden","Culture & Rural Tourism","High","Mainpat-Surguja Circuit","Tibetan Settlement Mainpat is a culture destination in Surguja, Chhattisgarh.","culture, local traditions",""
