"place_name","state_ut","district","city_or_town","nearest_major_city","category","visibility","tourism_type","tourism_potential","circuit","description","experience_tags","source"
"Ziro Valley Cultural Landscape","Arunachal Pradesh","Lower Subansiri","Ziro","Itanagar","Culture","Famous","Culture & Heritage","High","Ziro-Apatani Circuit","Scenic valley associated with Apatani culture, agriculture and distinctive rural landscapes.","culture, heritage",""
"Mechuka Valley","Arunachal Pradesh","Shi Yomi","Mechuka","Aalo","Valley","Famous","Nature","High","Aalo-Mechuka Circuit","Remote Himalayan valley known for mountain scenery, villages and cultural landscapes.","nature",""
"Bhalukpong","Arunachal Pradesh","West Kameng","Bhalukpong","Tezpur","Mountain","Famous","Nature","High","Bhalukpong-Bomdila-Dirang Circuit","Bhalukpong is a mountain destination in West Kameng, Arunachal Pradesh.","nature",""
"Bomdila","Arunachal Pradesh","West Kameng","Bomdila","Tezpur","Trek","Famous","Adventure","High","Bhalukpong-Bomdila-Dirang Circuit","Bomdila is a trek destination in West Kameng, Arunachal Pradesh.","trekking, adventure",""
"Dirang","Arunachal Pradesh","West Kameng","Dirang","Tezpur","Trek","Famous","Adventure","High","Bhalukpong-Bomdila-Dirang Circuit","Dirang is a trek destination in West Kameng, Arunachal Pradesh.","trekking, adventure",""
"Sangti Valley","Arunachal Pradesh","West Kameng","Dirang","Tezpur","Valley","Offbeat","Nature","High","Bhalukpong-Bomdila-Dirang Circuit","Sangti Valley is a valley destination in West Kameng, Arunachal Pradesh.","nature",""
"Along (Aalo)","Arunachal Pradesh","West Siang","Aalo","Pasighat","Trek","Lesser-known","Adventure","Medium","Aalo-Siyom Circuit","Along (Aalo) is a trek destination in West Siang, Arunachal Pradesh.","trekking, adventure",""
"Sela Pass","Arunachal Pradesh","Tawang","Tawang","Tezpur","Mountain Pass","Famous","Nature","High","Tawang-Bumla Circuit","High mountain pass on the route to Tawang with dramatic Himalayan scenery.","nature, mountain pass",""
"Bum La Pass","Arunachal Pradesh","Tawang","Tawang","Tezpur","Mountain Pass","Famous","Nature","High","Tawang-Bumla Circuit","High-altitude border pass near Tawang known for mountain landscapes and strategic significance.","nature, mountain pass",""
"Madhuri Lake","Arunachal Pradesh","Tawang","Tawang","Tezpur","Lake","Famous","Nature","High","Tawang-Bumla Circuit","Madhuri Lake is a lake destination in Tawang, Arunachal Pradesh.","nature",""
"Shonga-Tser Lake","Arunachal Pradesh","Tawang","Tawang","Tezpur","Lake","Famous","Nature","High","Tawang-Bumla Circuit","Shonga-Tser Lake is a lake destination in Tawang, Arunachal Pradesh.","nature",""
"Ita Fort","Arunachal Pradesh","Itanagar","Itanagar","Itanagar","Fort","Famous","Heritage & Religion","High","Itanagar-Naharlagun Circuit","Ita Fort is a fort destination in Itanagar, Arunachal Pradesh.","culture, heritage, history",""
"Pakke Tiger Reserve","Arunachal Pradesh","East Kameng","East Kameng","East Kameng","Wildlife","Famous","Wildlife","High","Pakke-Seijosa Circuit","Protected forest landscape known for wildlife and biodiversity.","wildlife",""
"Parshuram Kund","Arunachal Pradesh","Lohit","Lohit","Lohit","Heritage","Famous","Heritage & Religion","High","Lohit-Namsai Circuit","Important pilgrimage destination associated with a sacred river setting.","culture, heritage",""
"Golden Pagoda","Arunachal Pradesh","Namsai","Namsai","Namsai","Heritage","Famous","Heritage & Religion","High","Lohit-Namsai Circuit","Buddhist cultural landmark in Namsai with distinctive pagoda architecture.","culture, heritage",""
"Mayudia Pass","Arunachal Pradesh","Lower Dibang Valley","Roing","Tinsukia","Mountain Pass","Famous","Nature","High","Roing-Mayodia-Mishmi Circuit","Mayudia Pass is a mountain pass destination in Lower Dibang Valley, Arunachal Pradesh.","nature, mountain pass",""
"Gorichen Peak","Arunachal Pradesh","Tawang","Tawang","Tezpur","Hill Station","Famous","Nature","High","Tawang-Bumla Circuit","Gorichen Peak is a hill station destination in Tawang, Arunachal Pradesh.","nature",""
"Itanagar Wildlife Sanctuary","Arunachal Pradesh","Itanagar","Itanagar","Itanagar","Wildlife","Famous","Wildlife","High","Itanagar-Naharlagun Circuit","Itanagar Wildlife Sanctuary is a wildlife destination in Itanagar, Arunachal Pradesh.","wildlife",""
"Ganga Lake","Arunachal Pradesh","Itanagar","Itanagar","Itanagar","Lake","Famous","Nature","High","Itanagar-Naharlagun Circuit","Ganga Lake is a lake destination in Itanagar, Arunachal Pradesh.","nature",""
"Naharlagun","Arunachal Pradesh","Itanagar","Itanagar","Itanagar","Heritage","Lesser-known","Heritage & Religion","Medium","Itanagar-Naharlagun Circuit","Naharlagun is a heritage destination in Itanagar, Arunachal Pradesh.","culture, heritage",""
"Thembang Village","Arunachal Pradesh","West Kameng","Thembang","Tezpur","Heritage","Famous","Heritage & Religion","High","Bhalukpong-Bomdila-Dirang Circuit","Historic Monpa village known for heritage, traditional architecture and mountain landscapes.","culture, heritage",""
"Sela Lake","Arunachal Pradesh","Tawang","Tawang","Tezpur","Lake","Offbeat","Nature","High","Tawang-Bumla Circuit","Sela Lake is a lake destination in Tawang, Arunachal Pradesh.","nature",""
"Nuranang Falls","Arunachal Pradesh","Tawang","Jang","Tezpur","Waterfall","Famous","Nature","High","Tawang-Bumla Circuit","Major waterfall near Jang surrounded by dramatic Himalayan terrain.","nature",""
"Shakti Falls","Arunachal Pradesh","Tawang","Tawang","Tezpur","Waterfall","Lesser-known","Nature","Medium","Tawang-Bumla Circuit","Shakti Falls is a waterfall destination in Tawang, Arunachal Pradesh.","nature",""
"Jang","Arunachal Pradesh","Tawang","Jang","Tezpur","Hill Station","Hidden","Nature","High","Tawang-Bumla Circuit","Jang is a hill station destination in Tawang, Arunachal Pradesh.","nature",""
"Lumla","Arunachal Pradesh","Tawang","Lumla","Tezpur","Hill Station","Hidden","Nature","High","Tawang-Bumla Circuit","Lumla is a hill station destination in Tawang, Arunachal Pradesh.","nature",""
"Eaglenest Wildlife Sanctuary","Arunachal Pradesh","West Kameng","Seppa","Tezpur","Wildlife","Famous","Wildlife","High","Bhalukpong-Bomdila-Dirang Circuit","Biodiversity-rich Himalayan sanctuary known for birdwatching and forest experiences.","wildlife",""
"Seppa","Arunachal Pradesh","East Kameng","Seppa","Tezpur","Heritage","Lesser-known","Heritage & Religion","Medium","Pakke-Seijosa Circuit","Seppa is a heritage destination in East Kameng, Arunachal Pradesh.","culture, heritage",""
"Daying Ering Wildlife Sanctuary","Arunachal Pradesh","East Siang","Pasighat","Dibrugarh","Wildlife","Famous","Wildlife","High","Siang Valley Circuit","Daying Ering Wildlife Sanctuary is a wildlife destination in East Siang, Arunachal Pradesh.","wildlife",""
"Sela Tunnel","Arunachal Pradesh","Tawang","Tawang","Tezpur","Heritage","Hidden","Heritage & Religion","High","Tawang-Bumla Circuit","Sela Tunnel is a heritage destination in Tawang, Arunachal Pradesh.","culture, heritage",""
"P.T. Tso Lake","Arunachal Pradesh","Tawang","Tawang","Tezpur","Lake","Offbeat","Nature","High","Tawang-Bumla Circuit","P.T. Tso Lake is a lake destination in Tawang, Arunachal Pradesh.","nature",""
"Tawang War Memorial","Arunachal Pradesh","Tawang","Tawang","Tezpur","Museum","Offbeat","Culture & Heritage","Medium","Tawang-Bumla Circuit","Tawang War Memorial is a museum destination in Tawang, Arunachal Pradesh.","culture, heritage, history",""
"Mouling National Park","Arunachal Pradesh","Upper Siang","Yingkiong","Dibrugarh","Wildlife","Famous","Wildlife","High","Siang Valley Circuit","Mouling National Park is a wildlife destination in Upper Siang, Arunachal Pradesh.","wildlife",""
"Apatani Cultural Landscape","Arunachal Pradesh","Lower Subansiri","Ziro","Itanagar","Heritage","Famous","Heritage & Religion","High","Ziro-Apatani Circuit","Apatani Cultural Landscape is a heritage destination in Lower Subansiri, Arunachal Pradesh.","culture, heritage",""
"Daporijo","Arunachal Pradesh","Upper Subansiri","Daporijo","Itanagar","Heritage","Hidden","Heritage & Religion","High","Upper Subansiri Offbeat Circuit","Daporijo is a heritage destination in Upper Subansiri, Arunachal Pradesh.","culture, heritage",""
"Jawaharlal Nehru Museum","Arunachal Pradesh","Itanagar","Itanagar","Itanagar","Museum","Famous","Culture & Heritage","High","Itanagar-Naharlagun Circuit","Jawaharlal Nehru Museum is a museum destination in Itanagar, Arunachal Pradesh.","culture, heritage, history",""
"Yingkiong","Arunachal Pradesh","Upper Siang","Yingkiong","Dibrugarh","Heritage","Hidden","Heritage & Religion","High","Siang Valley Circuit","Yingkiong is a heritage destination in Upper Siang, Arunachal Pradesh.","culture, heritage",""
"Mehao Wildlife Sanctuary","Arunachal Pradesh","Lower Dibang Valley","Roing","Tinsukia","Wildlife","Famous","Wildlife","High","Roing-Mayodia-Mishmi Circuit","Mehao Wildlife Sanctuary is a wildlife destination in Lower Dibang Valley, Arunachal Pradesh.","wildlife",""
"Namsai","Arunachal Pradesh","Namsai","Namsai","Dibrugarh","Heritage","Hidden","Heritage & Religion","High","Lohit-Namsai Circuit","Namsai is a heritage destination in Namsai, Arunachal Pradesh.","culture, heritage",""
"Chongkham","Arunachal Pradesh","Namsai","Chongkham","Dibrugarh","Heritage","Hidden","Heritage & Religion","High","Lohit-Namsai Circuit","Chongkham is a heritage destination in Namsai, Arunachal Pradesh.","culture, heritage",""
"Changlang","Arunachal Pradesh","Changlang","Changlang","Dibrugarh","Hill Station","Hidden","Nature","High","Namdapha-Pangsau Circuit","Changlang is a hill station destination in Changlang, Arunachal Pradesh.","nature",""
"Miao","Arunachal Pradesh","Changlang","Miao","Dibrugarh","Heritage","Hidden","Heritage & Religion","High","Namdapha-Pangsau Circuit","Miao is a heritage destination in Changlang, Arunachal Pradesh.","culture, heritage",""
"Seijosa","Arunachal Pradesh","East Kameng","Seijosa","Tezpur","Heritage","Hidden","Heritage & Religion","High","Pakke-Seijosa Circuit","Seijosa is a heritage destination in East Kameng, Arunachal Pradesh.","culture, heritage",""
"Mandala Top","Arunachal Pradesh","West Kameng","Dirang","Tezpur","Hill Station","Hidden","Nature","High","Bhalukpong-Bomdila-Dirang Circuit","Mandala Top is a hill station destination in West Kameng, Arunachal Pradesh.","nature",""
"Jaswant Garh War Memorial","Arunachal Pradesh","Tawang","Tawang","Tezpur","Memorial","Hidden","Heritage & Religion","High","Tawang-Bumla Circuit","Jaswant Garh War Memorial is a memorial destination in Tawang, Arunachal Pradesh.","culture, heritage, history",""
"Ziro","Arunachal Pradesh","Lower Subansiri","Ziro","Itanagar","Hill Station","Lesser-known","Nature","Medium","Ziro-Apatani Circuit","Ziro is a hill station destination in Lower Subansiri, Arunachal Pradesh.","nature",""
"Talle Valley","Arunachal Pradesh","Lower Subansiri","Ziro","Itanagar","Hill Station","Famous","Nature","High","Ziro-Apatani Circuit","Scenic highland valley and trekking landscape near Ziro.","nature",""
"Samten Yangchag Monastery","Arunachal Pradesh","Shi Yomi","Mechuka","Aalo","Monastery","Hidden","Heritage & Religion","High","Aalo-Mechuka Circuit","Samten Yangchag Monastery is a monastery destination in Shi Yomi, Arunachal Pradesh.","culture, heritage, pilgrimage",""
"Dirang Hot Water Spring","Arunachal Pradesh","West Kameng","Dirang","Tezpur","Natural Spring","Hidden","Nature","High","Bhalukpong-Bomdila-Dirang Circuit","Natural hot-spring attraction near Dirang suited to a quieter nature experience.","nature",""
"Dirang Dzong","Arunachal Pradesh","West Kameng","Dirang","Tezpur","Heritage","Hidden","Heritage & Religion","High","Bhalukpong-Bomdila-Dirang Circuit","Dirang Dzong is a heritage destination in West Kameng, Arunachal Pradesh.","culture, heritage",""
"Kalachakra Gompa","Arunachal Pradesh","West Kameng","Dirang","Tezpur","Monastery","Hidden","Heritage & Religion","High","Bhalukpong-Bomdila-Dirang Circuit","Kalachakra Gompa is a monastery destination in West Kameng, Arunachal Pradesh.","culture, heritage, pilgrimage",""
"National Research Centre on Yak","Arunachal Pradesh","West Kameng","Dirang","Tezpur","Cultural","Hidden","Culture & Heritage","High","Bhalukpong-Bomdila-Dirang Circuit","National Research Centre on Yak is a cultural destination in West Kameng, Arunachal Pradesh.","culture, heritage",""
"Tippi Orchid Centre","Arunachal Pradesh","West Kameng","Tippi","Tezpur","Nature","Hidden","Nature","High","Bhalukpong-Bomdila-Dirang Circuit","Orchid-focused nature attraction in Tippi showcasing Arunachal's rich plant diversity.","nature",""
"Tippi River Valley","Arunachal Pradesh","West Kameng","Tippi","Tezpur","Valley","Hidden","Nature","High","Bhalukpong-Bomdila-Dirang Circuit","Tippi River Valley is a valley destination in West Kameng, Arunachal Pradesh.","nature",""
"Ramalingam","Arunachal Pradesh","West Kameng","Bomdila","Tezpur","Valley","Hidden","Nature","High","Bhalukpong-Bomdila-Dirang Circuit","Ramalingam is a valley destination in West Kameng, Arunachal Pradesh.","nature",""
"Chakku","Arunachal Pradesh","West Kameng","Bomdila","Tezpur","Mountain","Hidden","Nature","High","Bhalukpong-Bomdila-Dirang Circuit","Chakku is a mountain destination in West Kameng, Arunachal Pradesh.","nature",""
"Mago Village","Arunachal Pradesh","Tawang","Mago","Tezpur","Heritage","Hidden","Heritage & Religion","High","Tawang-Bumla Circuit","Mago Village is a heritage destination in Tawang, Arunachal Pradesh.","culture, heritage",""
"Mago Waterfalls","Arunachal Pradesh","Tawang","Mago","Tezpur","Waterfall","Hidden","Nature","High","Tawang-Bumla Circuit","Mago Waterfalls is a waterfall destination in Tawang, Arunachal Pradesh.","nature",""
"Banggachang Lake","Arunachal Pradesh","Tawang","Tawang","Tezpur","Lake","Hidden","Nature","High","Tawang-Bumla Circuit","Banggachang Lake is a lake destination in Tawang, Arunachal Pradesh.","nature",""
"Nyukmadung War Memorial and Heritage Museum","Arunachal Pradesh","Tawang","Nyukmadung","Tezpur","Museum","Hidden","Culture & Heritage","High","Tawang-Bumla Circuit","Nyukmadung War Memorial and Heritage Museum is a museum destination in Tawang, Arunachal Pradesh.","culture, heritage, history",""
"Bomdila War Memorial","Arunachal Pradesh","West Kameng","Bomdila","Tezpur","Memorial","Hidden","Heritage & Religion","High","Bhalukpong-Bomdila-Dirang Circuit","Bomdila War Memorial is a memorial destination in West Kameng, Arunachal Pradesh.","culture, heritage, history",""
"Zemithang Valley","Arunachal Pradesh","Tawang","Zemithang","Tezpur","Valley","Hidden","Nature","High","Tawang-Bumla Circuit","Zemithang Valley is a valley destination in Tawang, Arunachal Pradesh.","nature",""
"Gorsam Chorten","Arunachal Pradesh","Tawang","Zemithang","Tezpur","Monastery","Hidden","Heritage & Religion","High","Tawang-Bumla Circuit","Buddhist stupa near Zemithang associated with the area's Monpa cultural landscape.","culture, heritage, pilgrimage",""
"Lumla Gompa","Arunachal Pradesh","Tawang","Lumla","Tezpur","Monastery","Hidden","Heritage & Religion","High","Tawang-Bumla Circuit","Lumla Gompa is a monastery destination in Tawang, Arunachal Pradesh.","culture, heritage, pilgrimage",""
"Siyom River","Arunachal Pradesh","Shi Yomi","Mechuka","Aalo","Valley","Hidden","Nature","High","Aalo-Mechuka Circuit","Siyom River is a valley destination in Shi Yomi, Arunachal Pradesh.","nature",""
"Siyom Hanging Bridge","Arunachal Pradesh","West Siang","Aalo","Pasighat","Heritage","Hidden","Heritage & Religion","High","Aalo-Siyom Circuit","Siyom Hanging Bridge is a heritage destination in West Siang, Arunachal Pradesh.","culture, heritage",""
"Bagra Village","Arunachal Pradesh","West Siang","Aalo","Pasighat","Cultural","Hidden","Culture & Heritage","High","Aalo-Siyom Circuit","Bagra Village is a cultural destination in West Siang, Arunachal Pradesh.","culture, heritage",""
"Patum Bridge","Arunachal Pradesh","West Siang","Aalo","Pasighat","Heritage","Hidden","Heritage & Religion","High","Aalo-Siyom Circuit","Patum Bridge is a heritage destination in West Siang, Arunachal Pradesh.","culture, heritage",""
"Donyi Polo Temple Aalo","Arunachal Pradesh","West Siang","Aalo","Pasighat","Religious","Hidden","Heritage & Religion","High","Aalo-Siyom Circuit","Donyi Polo Temple Aalo is a religious destination in West Siang, Arunachal Pradesh.","culture, heritage, pilgrimage",""
"Kamki Hydroelectric Dam","Arunachal Pradesh","West Siang","Aalo","Pasighat","Dam","Hidden","Recreation","High","Aalo-Siyom Circuit","Kamki Hydroelectric Dam is a dam destination in West Siang, Arunachal Pradesh.","dam",""
"Palin","Arunachal Pradesh","Kurung Kumey","Palin","Itanagar","Hill Station","Hidden","Nature","High","Kurung Kumey Offbeat Circuit","Palin is a hill station destination in Kurung Kumey, Arunachal Pradesh.","nature",""
"Nyapin","Arunachal Pradesh","Kurung Kumey","Nyapin","Itanagar","Hill Station","Hidden","Nature","High","Kurung Kumey Offbeat Circuit","Nyapin is a hill station destination in Kurung Kumey, Arunachal Pradesh.","nature",""
"Sangram","Arunachal Pradesh","Kurung Kumey","Sangram","Itanagar","Valley","Hidden","Nature","High","Kurung Kumey Offbeat Circuit","Sangram is a valley destination in Kurung Kumey, Arunachal Pradesh.","nature",""
"Koloriang","Arunachal Pradesh","Kurung Kumey","Koloriang","Itanagar","Hill Station","Hidden","Nature","High","Kurung Kumey Offbeat Circuit","Koloriang is a hill station destination in Kurung Kumey, Arunachal Pradesh.","nature",""
"Taliha","Arunachal Pradesh","Upper Subansiri","Taliha","Itanagar","Valley","Hidden","Nature","High","Upper Subansiri Offbeat Circuit","Taliha is a valley destination in Upper Subansiri, Arunachal Pradesh.","nature",""
"Siyum","Arunachal Pradesh","Upper Subansiri","Siyum","Itanagar","Valley","Hidden","Nature","High","Upper Subansiri Offbeat Circuit","Siyum is a valley destination in Upper Subansiri, Arunachal Pradesh.","nature",""
"Nacho","Arunachal Pradesh","Upper Subansiri","Nacho","Itanagar","Mountain","Hidden","Nature","High","Upper Subansiri Offbeat Circuit","Nacho is a mountain destination in Upper Subansiri, Arunachal Pradesh.","nature",""
"Taksing","Arunachal Pradesh","Upper Subansiri","Taksing","Itanagar","Mountain","Hidden","Nature","High","Upper Subansiri Offbeat Circuit","Taksing is a mountain destination in Upper Subansiri, Arunachal Pradesh.","nature",""
"Tuting","Arunachal Pradesh","Upper Siang","Tuting","Dibrugarh","Valley","Hidden","Nature","High","Siang Valley Circuit","Tuting is a valley destination in Upper Siang, Arunachal Pradesh.","nature",""
"Jengging","Arunachal Pradesh","Upper Siang","Jengging","Dibrugarh","Valley","Hidden","Nature","High","Siang Valley Circuit","Jengging is a valley destination in Upper Siang, Arunachal Pradesh.","nature",""
"Mariang","Arunachal Pradesh","East Siang","Mariang","Dibrugarh","Valley","Hidden","Nature","High","Siang Valley Circuit","Mariang is a valley destination in East Siang, Arunachal Pradesh.","nature",""
"Kibithoo","Arunachal Pradesh","Anjaw","Kibithoo","Tezu","Mountain","Hidden","Nature","High","Kibithoo-Walong Circuit","Remote eastern Himalayan settlement known for mountain scenery and frontier heritage.","nature",""
"Dong Valley","Arunachal Pradesh","Anjaw","Dong","Tezu","Valley","Hidden","Nature","High","Kibithoo-Walong Circuit","Remote valley in eastern Arunachal Pradesh known for sunrise landscapes and mountain terrain.","nature",""
"Walong","Arunachal Pradesh","Anjaw","Walong","Tezu","Valley","Hidden","Nature","High","Kibithoo-Walong Circuit","Remote Himalayan settlement associated with dramatic valleys and wartime history.","nature",""
"Dong Viewpoint","Arunachal Pradesh","Anjaw","Dong","Tezu","Viewpoint","Hidden","Nature","High","Kibithoo-Walong Circuit","Dong Viewpoint is a viewpoint destination in Anjaw, Arunachal Pradesh.","nature",""
"Dong Krong","Arunachal Pradesh","Anjaw","Dong","Tezu","Natural Spring","Hidden","Nature","High","Kibithoo-Walong Circuit","Dong Krong is a natural spring destination in Anjaw, Arunachal Pradesh.","nature",""
"Kibithoo Village","Arunachal Pradesh","Anjaw","Kibithoo","Tezu","Heritage","Hidden","Heritage & Religion","High","Kibithoo-Walong Circuit","Kibithoo Village is a heritage destination in Anjaw, Arunachal Pradesh.","culture, heritage",""
"Hawai","Arunachal Pradesh","Anjaw","Hawai","Tezu","Mountain","Hidden","Nature","High","Kibithoo-Walong Circuit","Hawai is a mountain destination in Anjaw, Arunachal Pradesh.","nature",""
"Hayuliang","Arunachal Pradesh","Anjaw","Hayuliang","Tezu","Valley","Hidden","Nature","High","Kibithoo-Walong Circuit","Hayuliang is a valley destination in Anjaw, Arunachal Pradesh.","nature",""
"Kanziranga Viewpoint","Arunachal Pradesh","Anjaw","Kibithoo","Tezu","Viewpoint","Hidden","Nature","High","Kibithoo-Walong Circuit","Kanziranga Viewpoint is a viewpoint destination in Anjaw, Arunachal Pradesh.","nature",""
"Malinithan Archaeological Site","Arunachal Pradesh","Lower Siang","Likabali","Pasighat","Heritage","Hidden","Heritage & Religion","High","Arunachal Offbeat Circuit","Archaeological and heritage site associated with ancient temple remains and sculpture.","culture, heritage",""
"Bhismaknagar Fort","Arunachal Pradesh","Lower Dibang Valley","Rukmininagar","Tinsukia","Archaeological","Hidden","Heritage & Religion","High","Roing-Mayodia-Mishmi Circuit","Ancient archaeological site associated with fortified remains in the Lower Dibang Valley region.","culture, heritage, history",""
"Vijaynagar","Arunachal Pradesh","Changlang","Vijaynagar","Dibrugarh","Heritage","Hidden","Heritage & Religion","High","Namdapha-Pangsau Circuit","Vijaynagar is a heritage destination in Changlang, Arunachal Pradesh.","culture, heritage",""
"Nakshaprabhat","Arunachal Pradesh","Lower Dibang Valley","Rukmininagar","Tinsukia","Archaeological","Hidden","Heritage & Religion","High","Roing-Mayodia-Mishmi Circuit","Nakshaprabhat is a archaeological destination in Lower Dibang Valley, Arunachal Pradesh.","culture, heritage, history",""
"Pangsau Pass","Arunachal Pradesh","Changlang","Nampong","Dibrugarh","Mountain Pass","Famous","Nature","High","Namdapha-Pangsau Circuit","Historic mountain pass near the India-Myanmar border with scenic and cultural significance.","nature, mountain pass",""
"Nampong","Arunachal Pradesh","Changlang","Nampong","Dibrugarh","Heritage","Hidden","Heritage & Religion","High","Namdapha-Pangsau Circuit","Nampong is a heritage destination in Changlang, Arunachal Pradesh.","culture, heritage",""
"Jairampur World War II Cemetery","Arunachal Pradesh","Changlang","Jairampur","Dibrugarh","Heritage","Hidden","Heritage & Religion","High","Namdapha-Pangsau Circuit","Historic wartime cemetery connected with the World War II history of the region.","culture, heritage",""
"Nampong Namchik Tea Garden","Arunachal Pradesh","Changlang","Nampong","Dibrugarh","Tea Garden","Hidden","Culture & Heritage","High","Namdapha-Pangsau Circuit","Tea-growing landscape offering an offbeat agricultural tourism experience.","culture, heritage",""
"Lazu Village","Arunachal Pradesh","Tirap","Lazu","Dibrugarh","Heritage","Hidden","Heritage & Religion","High","Tirap Cultural Circuit","Lazu Village is a heritage destination in Tirap, Arunachal Pradesh.","culture, heritage",""
"Khonsa Museum","Arunachal Pradesh","Tirap","Khonsa","Dibrugarh","Museum","Hidden","Culture & Heritage","High","Tirap Cultural Circuit","Khonsa Museum is a museum destination in Tirap, Arunachal Pradesh.","culture, heritage, history",""
"Hukanjuri","Arunachal Pradesh","Tirap","Hukanjuri","Dibrugarh","Mountain","Hidden","Nature","High","Tirap Cultural Circuit","Hukanjuri is a mountain destination in Tirap, Arunachal Pradesh.","nature",""
"Deomali","Arunachal Pradesh","Tirap","Deomali","Dibrugarh","Hill Station","Hidden","Nature","High","Tirap Cultural Circuit","Deomali is a hill station destination in Tirap, Arunachal Pradesh.","nature",""
"Parshuram Kund Forest Trail","Arunachal Pradesh","Lohit","Tezu","Dibrugarh","Trek","Hidden","Adventure","High","Lohit-Namsai Circuit","Parshuram Kund Forest Trail is a trek destination in Lohit, Arunachal Pradesh.","trekking, adventure",""
"Tezu Botanical Garden","Arunachal Pradesh","Lohit","Tezu","Dibrugarh","Nature","Hidden","Nature","High","Lohit-Namsai Circuit","Tezu Botanical Garden is a nature destination in Lohit, Arunachal Pradesh.","nature",""
"Glow Lake","Arunachal Pradesh","Lower Dibang Valley","Roing","Tinsukia","Lake","Hidden","Nature","High","Roing-Mayodia-Mishmi Circuit","Glow Lake is a lake destination in Lower Dibang Valley, Arunachal Pradesh.","nature",""
"Sally Lake","Arunachal Pradesh","Lower Dibang Valley","Roing","Tinsukia","Lake","Hidden","Nature","High","Roing-Mayodia-Mishmi Circuit","Sally Lake is a lake destination in Lower Dibang Valley, Arunachal Pradesh.","nature",""
"Hunli","Arunachal Pradesh","Lower Dibang Valley","Hunli","Tinsukia","Hill Station","Hidden","Nature","High","Roing-Mayodia-Mishmi Circuit","Hunli is a hill station destination in Lower Dibang Valley, Arunachal Pradesh.","nature",""
"Mishmi Hills","Arunachal Pradesh","Lower Dibang Valley","Roing","Tinsukia","Mountain","Famous","Nature","High","Roing-Mayodia-Mishmi Circuit","Mountain region known for remote landscapes, forests and biodiversity.","nature",""
"Mayodia Forest Trail","Arunachal Pradesh","Lower Dibang Valley","Roing","Tinsukia","Trek","Hidden","Adventure","High","Roing-Mayodia-Mishmi Circuit","Mayodia Forest Trail is a trek destination in Lower Dibang Valley, Arunachal Pradesh.","trekking, adventure",""
"Kibithoo War Memorial","Arunachal Pradesh","Anjaw","Kibithoo","Tezu","Memorial","Hidden","Heritage & Religion","High","Kibithoo-Walong Circuit","Kibithoo War Memorial is a memorial destination in Anjaw, Arunachal Pradesh.","culture, heritage, history",""
