place_name,state_ut,district,city_or_town,nearest_major_city,category
Satapada,Odisha,Puri,Satapada,Bhubaneswar,Nature
Bhitarkanika National Park,Odisha,Kendrapara,Rajnagar,Cuttack,Wildlife
Bhitarkanika Mangroves,Odisha,Kendrapara,Rajnagar,Cuttack,Wildlife
Mangalajodi Wetlands,Odisha,Khordha,Tangi,Bhubaneswar,Birdwatching
Nandankanan Zoological Park,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Wildlife
Nandankanan Botanical Garden,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Garden
Ekamra Kanan Botanical Gardens,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Garden
Odisha State Museum,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Museum
Pathani Samanta Planetarium,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Museum
Regional Museum of Natural History,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Museum
Regional Science Centre Bhubaneswar,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Museum
State Tribal Museum,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Museum
Odisha Crafts Museum Kala Bhoomi,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Culture
Sisupalgarh Fort Ruins,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Heritage
Ananta Vasudeva Temple,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Heritage
Lingaraj Temple,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Religious
Mukteshwar Temple,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Religious
Rajarani Temple,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Heritage
Parasurameswara Temple,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Religious
Brahmeswara Temple,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Religious
Bhaskareswara Temple,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Religious
Baitala Deula Temple,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Heritage
Kedar Gouri Temple,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Religious
Chausathi Yogini Temple Hirapur,Odisha,Khordha,Hirapur,Bhubaneswar,Heritage
Dhauli Shanti Stupa,Odisha,Khordha,Dhauli,Bhubaneswar,Buddhist Heritage
Dhauli Hills,Odisha,Khordha,Dhauli,Bhubaneswar,Heritage
Udayagiri and Khandagiri Caves,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Heritage
Rani Gumpha,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Heritage
Khandagiri Caves,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Heritage
Udayagiri Caves,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Heritage
Biju Patnaik Park,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Recreation
Devi Padahara Pond,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Cultural
Khanduali Temple,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Religious
Sri Ram Temple Bhubaneswar,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Religious
Bindu Sagar,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Water Body
Narendra Pokhari,Odisha,Puri,Puri,Bhubaneswar,Water Body
Alarnatha Temple,Odisha,Puri,Brahmagiri,Puri,Religious
Loknath Temple Puri,Odisha,Puri,Puri,Bhubaneswar,Religious
Gobardhan Pitha,Odisha,Puri,Puri,Bhubaneswar,Religious
Pipili Applique Village,Odisha,Puri,Pipili,Bhubaneswar,Culture
Gulmi Waterfall,Odisha,Koraput,Koraput,Koraput,Waterfall
Deomali Peak,Odisha,Koraput,Pottangi,Koraput,Mountain
Koraput Valley,Odisha,Koraput,Koraput,Visakhapatnam,Valley
Duduma Waterfall,Odisha,Koraput,Machkund,Koraput,Waterfall
Nandapur Heritage Village,Odisha,Koraput,Nandapur,Koraput,Heritage
Machkund Waterfall,Odisha,Koraput,Machkund,Koraput,Waterfall
Gupteswar Cave Temple,Odisha,Koraput,Gupteswar,Koraput,Cave & Religious
Sabara Srikhetra,Odisha,Koraput,Koraput,Koraput,Religious
Minajhola,Odisha,Rayagada,Minajhola,Rayagada,Nature & Spiritual
Chatikona Waterfall,Odisha,Rayagada,Chatikona,Rayagada,Waterfall
Niyamgiri Hills,Odisha,Rayagada,Bissamcuttack,Rayagada,Mountain
Rabandhara Waterfall,Odisha,Kalahandi,Bhawanipatna,Bhawanipatna,Waterfall
Phurlijharan Waterfall,Odisha,Kalahandi,Bhawanipatna,Bhawanipatna,Waterfall
Dokrichanchara Waterfall,Odisha,Kalahandi,Dharamgarh,Bhawanipatna,Waterfall
Karlapat Wildlife Sanctuary,Odisha,Kalahandi,Lanjigarh,Bhawanipatna,Wildlife
Gandhamardan Hills,Odisha,Balangir,Khaprakhol,Balangir,Mountain
Patnagarh Heritage Sites,Odisha,Balangir,Patnagarh,Balangir,Heritage
Harishankar Waterfall,Odisha,Balangir,Khaprakhol,Balangir,Waterfall
Ranipur Jharial,Odisha,Balangir,Titlagarh,Balangir,Heritage
Chausathi Yogini Temple Ranipur Jharial,Odisha,Balangir,Titlagarh,Balangir,Heritage
Huma Leaning Temple,Odisha,Sambalpur,Huma,Sambalpur,Heritage
Cattle Island,Odisha,Sambalpur,Burla,Sambalpur,Nature
Ansupa Lake,Odisha,Cuttack,Bankikhole,Cuttack,Lake
Ansupa Nature Camp,Odisha,Cuttack,Bankikhole,Cuttack,Nature
Gopinathpur Beach,Odisha,Cuttack,Cuttack,Cuttack,Beach
Mahavinayak Temple,Odisha,Jajpur,Chandikhol,Cuttack,Religious
Biraja Temple,Odisha,Jajpur,Jajpur,Cuttack,Religious
Langudi Hills Buddhist Complex,Odisha,Jajpur,Langudi,Cuttack,Buddhist Heritage
Udayagiri Buddhist Complex,Odisha,Jajpur,Udayagiri,Cuttack,Buddhist Heritage
Ratnagiri Buddhist Monastery,Odisha,Jajpur,Ratnagiri,Cuttack,Buddhist Heritage
Lalitgiri Buddhist Complex,Odisha,Jajpur,Lalitgiri,Cuttack,Buddhist Heritage
Talasari Beach,Odisha,Balasore,Talasari,Balasore,Beach
Chandipur Beach,Odisha,Balasore,Chandipur,Balasore,Beach
Balaramgadi Beach,Odisha,Balasore,Balaramgadi,Balasore,Beach
Kharasahapur Beach,Odisha,Balasore,Kharasahapur,Balasore,Beach
Killa Aul Palace,Odisha,Kendrapara,Aul,Cuttack,Heritage
Ansupa Lake,Odisha,Cuttack,Bankikhole,Cuttack,Lake
Tampara Lake,Odisha,Ganjam,Chhatrapur,Berhampur,Lake
Taptapani Hot Springs,Odisha,Ganjam,Digapahandi,Berhampur,Hot Spring
Jirang Village,Odisha,Gajapati,Chandragiri,Berhampur,Culture
Chandragiri Tibetan Settlement,Odisha,Gajapati,Chandragiri,Berhampur,Culture
Pati Sonepur Beach,Odisha,Ganjam,Chikiti,Berhampur,Beach
Gahirmatha Marine Sanctuary,Odisha,Kendrapara,Rajnagar,Cuttack,Wildlife
Olive Ridley Nesting Coast,Odisha,Kendrapara,Gahirmatha,Cuttack,Wildlife
Daringbadi Coffee Plantation,Odisha,Kandhamal,Daringbadi,Berhampur,Culture & Nature
Belghar Nature Camp,Odisha,Kandhamal,Belghar,Phulbani,Wildlife & Nature
Kotagarh Wildlife Sanctuary,Odisha,Kandhamal,Kotagarh,Phulbani,Wildlife
Tikarapada Nature Camp,Odisha,Angul,Tikarpada,Angul,Nature
Satkosia Sands Resort,Odisha,Angul,Badmul,Angul,Nature
Badmul Riverfront,Odisha,Angul,Badmul,Angul,Nature
Khandadhar Nature Camp,Odisha,Sundargarh,Bonai,Rourkela,Nature
Sanaghagara Nature Camp,Odisha,Kendujhar,Keonjhar,Keonjhar,Nature
Bhimkund Nature Camp,Odisha,Kendujhar,Bhimkund,Keonjhar,Nature
Gundichaghagi Nature Camp,Odisha,Kendujhar,Keonjhar,Keonjhar,Nature
Gonasika Brahmeswar Temple,Odisha,Kendujhar,Gonasika,Keonjhar,Religious
Sitakund,Odisha,Mayurbhanj,Similipal,Baripada,Waterfall
Bhimkund Mayurbhanj,Odisha,Mayurbhanj,Joranda,Baripada,Nature
Belgadia Palace,Odisha,Mayurbhanj,Baripada,Baripada,Heritage
Baripada Chhau Village,Odisha,Mayurbhanj,Baripada,Baripada,Culture
Ramtirtha Waterfall,Odisha,Mayurbhanj,Jharpokharia,Baripada,Waterfall
Joranda Falls Similipal,Odisha,Mayurbhanj,Similipal,Baripada,Waterfall
Barehipani Falls Similipal,Odisha,Mayurbhanj,Similipal,Baripada,Waterfall
Chilika Nature Camps,Odisha,Puri,Chilika,Bhubaneswar,Nature
Chilika Dolphin Point Satapada,Odisha,Puri,Satapada,Bhubaneswar,Wildlife
Ramachandi Temple,Odisha,Puri,Konark,Puri,Religious
Chandrabhaga Beach,Odisha,Puri,Konark,Puri,Beach
Raghurajpur Pattachitra Village,Odisha,Puri,Raghurajpur,Puri,Culture
Sakhigopal Heritage Village,Odisha,Puri,Sakhigopal,Puri,Culture
Konark Archaeological Museum,Odisha,Puri,Konark,Puri,Museum
Marine Drive Odisha,Odisha,Puri,Konark,Puri,Beach
Bhubaneswar Temple Heritage Circuit,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Heritage
Brahmeswara Temple,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Heritage
Vaital Deul Temple,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Heritage
Mukteshwar Temple Complex,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Heritage
Kedar Gouri Temple,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Religious
Ananta Basudeva Temple,Odisha,Khordha,Bhubaneswar,Bhubaneswar,Religious
